,cata_x,cata_y,cata_z,cata_data_source,cata_xx,cata_yy,loupe_x,loupe_y,loupe_z,loupe_C,offset_xy
2024-11-26 23:33:10+00:00,,,,,,,489806.1,6277204.3,2.5,X,
2024-11-26 23:33:11+00:00,,,,,,,489804.6,6277204.1,2.4,X,
2024-11-26 23:33:12+00:00,,,,,,,489803.2,6277203.7,2.4,X,
2024-11-26 23:33:13+00:00,,,,,,,489801.9,6277203.4,2.4,X,
2024-11-26 23:33:14+00:00,,,,,,,489800.6,6277203.0,2.4,X,
2024-11-26 23:33:15+00:00,,,,,,,489799.2,6277202.7,2.3,X,
2024-11-26 23:33:16+00:00,,,,,,,489797.8,6277202.4,2.4,X,
2024-11-26 23:33:17+00:00,,,,,,,489796.5,6277202.2,2.4,X,
2024-11-26 23:33:18+00:00,,,,,,,489795.1,6277202.1,2.3,X,
2024-11-26 23:33:19+00:00,,,,,,,489793.7,6277201.8,2.3,X,
2024-11-26 23:33:20+00:00,,,,,,,489792.4,6277201.4,2.3,X,
2024-11-26 23:33:21+00:00,,,,,,,489791.1,6277201.0,2.3,X,
2024-11-26 23:33:22+00:00,,,,,,,489789.8,6277200.6,2.2,X,
2024-11-26 23:33:23+00:00,,,,,,,489788.4,6277200.4,2.2,X,
2024-11-26 23:33:24+00:00,,,,,,,489787.0,6277200.2,2.2,X,
2024-11-26 23:33:25+00:00,,,,,,,489785.5,6277200.1,2.2,X,
2024-11-26 23:33:26+00:00,,,,,,,489784.1,6277199.9,2.2,X,
2024-11-26 23:33:27+00:00,,,,,,,489782.7,6277199.5,2.2,X,
2024-11-26 23:33:28+00:00,,,,,,,489781.4,6277199.0,2.2,X,
2024-11-26 23:33:29+00:00,,,,,,,489780.0,6277198.6,2.1,X,
2024-11-26 23:33:30+00:00,,,,,,,489778.6,6277198.3,2.2,X,
2024-11-26 23:33:31+00:00,,,,,,,489777.2,6277198.1,2.2,X,
2024-11-26 23:33:32+00:00,,,,,,,489775.8,6277197.9,2.1,X,
2024-11-26 23:33:33+00:00,,,,,,,489774.3,6277197.5,2.1,X,
2024-11-26 23:33:34+00:00,,,,,,,489772.9,6277197.2,2.2,X,
2024-11-26 23:33:35+00:00,,,,,,,489771.6,6277196.8,2.1,X,
2024-11-26 23:33:36+00:00,,,,,,,489770.1,6277196.4,2.0,X,
2024-11-26 23:33:37+00:00,,,,,,,489768.7,6277196.1,2.1,X,
2024-11-26 23:33:38+00:00,,,,,,,489767.3,6277195.8,2.1,X,
2024-11-26 23:33:39+00:00,,,,,,,489766.0,6277195.5,2.1,X,
2024-11-26 23:33:40+00:00,,,,,,,489764.6,6277195.2,2.0,X,
2024-11-26 23:33:41+00:00,,,,,,,489763.2,6277194.9,2.0,X,
2024-11-26 23:33:42+00:00,,,,,,,489761.9,6277194.5,2.0,X,
2024-11-26 23:33:43+00:00,,,,,,,489760.5,6277194.1,2.0,X,
2024-11-26 23:33:44+00:00,,,,,,,489759.1,6277193.7,1.9,X,
2024-11-26 23:33:45+00:00,,,,,,,489757.7,6277193.4,2.0,X,
2024-11-26 23:33:46+00:00,,,,,,,489756.3,6277193.2,2.0,X,
2024-11-26 23:33:47+00:00,,,,,,,489754.8,6277193.0,1.9,X,
2024-11-26 23:33:48+00:00,,,,,,,489753.4,6277192.8,1.9,X,
2024-11-26 23:33:49+00:00,,,,,,,489752.0,6277192.4,2.0,X,
2024-11-26 23:33:50+00:00,,,,,,,489750.7,6277192.0,1.9,X,
2024-11-26 23:33:51+00:00,,,,,,,489749.4,6277191.7,1.9,X,
2024-11-26 23:33:52+00:00,,,,,,,489748.0,6277191.4,1.9,X,
2024-11-26 23:33:53+00:00,,,,,,,489746.7,6277191.2,2.0,X,
2024-11-26 23:33:54+00:00,,,,,,,489745.2,6277191.0,2.0,X,
2024-11-26 23:33:55+00:00,,,,,,,489743.9,6277190.8,2.0,X,
2024-11-26 23:33:56+00:00,,,,,,,489742.5,6277190.5,2.0,X,
2024-11-26 23:33:57+00:00,,,,,,,489741.1,6277190.2,2.0,X,
2024-11-26 23:33:58+00:00,,,,,,,489739.8,6277189.9,2.0,X,
2024-11-26 23:33:59+00:00,,,,,,,489738.5,6277189.6,2.1,X,
2024-11-26 23:34:00+00:00,,,,,,,489737.1,6277189.4,2.1,X,
2024-11-26 23:34:01+00:00,,,,,,,489735.7,6277189.2,2.2,X,
2024-11-26 23:34:02+00:00,,,,,,,489734.4,6277189.0,2.2,X,
2024-11-26 23:34:03+00:00,,,,,,,489733.1,6277188.9,2.3,X,
2024-11-26 23:34:04+00:00,,,,,,,489731.8,6277188.8,2.3,X,
2024-11-26 23:34:05+00:00,,,,,,,489730.6,6277188.8,2.4,X,
2024-11-26 23:34:06+00:00,,,,,,,489729.3,6277188.9,2.4,X,
2024-11-26 23:34:07+00:00,,,,,,,489728.1,6277189.1,2.5,X,
2024-11-26 23:34:08+00:00,,,,,,,489726.8,6277189.2,2.4,X,
2024-11-26 23:34:09+00:00,,,,,,,489725.6,6277189.3,2.4,X,
2024-11-26 23:34:10+00:00,,,,,,,489724.3,6277189.6,2.5,X,
2024-11-26 23:34:11+00:00,,,,,,,489723.0,6277189.9,2.5,X,
2024-11-26 23:34:12+00:00,,,,,,,489721.9,6277190.4,2.7,X,
2024-11-26 23:34:13+00:00,,,,,,,489720.8,6277191.0,2.8,X,
2024-11-26 23:34:14+00:00,,,,,,,489719.8,6277191.7,2.8,X,
2024-11-26 23:34:15+00:00,,,,,,,489718.8,6277192.4,2.9,X,
2024-11-26 23:34:16+00:00,,,,,,,489717.8,6277193.1,2.9,X,
2024-11-26 23:34:17+00:00,,,,,,,489717.0,6277193.9,2.9,X,
2024-11-26 23:34:18+00:00,,,,,,,489716.3,6277194.8,2.9,X,
2024-11-26 23:34:19+00:00,,,,,,,489715.7,6277195.9,2.9,X,
2024-11-26 23:34:20+00:00,,,,,,,489715.2,6277197.1,3.0,X,
2024-11-26 23:34:21+00:00,,,,,,,489714.8,6277198.3,3.1,X,
2024-11-26 23:34:22+00:00,,,,,,,489714.5,6277199.4,3.2,X,
2024-11-26 23:34:23+00:00,,,,,,,489714.4,6277200.5,3.2,X,
2024-11-26 23:34:24+00:00,,,,,,,489714.4,6277201.7,3.2,X,
2024-11-26 23:34:25+00:00,,,,,,,489714.6,6277202.9,3.2,X,
2024-11-26 23:34:26+00:00,,,,,,,489714.9,6277204.2,3.1,X,
2024-11-26 23:34:27+00:00,,,,,,,489715.2,6277205.5,3.1,X,
2024-11-26 23:34:28+00:00,,,,,,,489715.5,6277206.9,3.1,X,
2024-11-26 23:34:29+00:00,,,,,,,489715.8,6277208.2,3.1,X,
2024-11-26 23:34:30+00:00,,,,,,,489716.3,6277209.6,3.0,X,
2024-11-26 23:34:31+00:00,,,,,,,489716.8,6277210.7,3.1,X,
2024-11-26 23:34:32+00:00,,,,,,,489717.3,6277212.0,3.0,X,
2024-11-26 23:34:33+00:00,,,,,,,489717.8,6277213.3,3.0,X,
2024-11-26 23:34:34+00:00,,,,,,,489718.3,6277214.6,3.1,X,
2024-11-26 23:34:35+00:00,,,,,,,489718.6,6277215.9,3.1,X,
2024-11-26 23:34:36+00:00,,,,,,,489718.9,6277217.2,3.0,X,
2024-11-26 23:34:37+00:00,,,,,,,489719.2,6277218.5,3.0,X,
2024-11-26 23:34:38+00:00,,,,,,,489719.6,6277219.8,3.1,X,
2024-11-26 23:34:39+00:00,,,,,,,489720.0,6277221.1,3.0,X,
2024-11-26 23:34:40+00:00,,,,,,,489720.3,6277222.5,3.0,X,
2024-11-26 23:34:41+00:00,,,,,,,489720.5,6277223.9,3.1,X,
2024-11-26 23:34:42+00:00,,,,,,,489720.8,6277225.4,3.0,X,
2024-11-26 23:34:43+00:00,,,,,,,489721.0,6277226.9,3.0,X,
2024-11-26 23:34:44+00:00,,,,,,,489721.3,6277228.3,3.0,X,
2024-11-26 23:34:45+00:00,,,,,,,489721.6,6277229.6,3.0,X,
2024-11-26 23:34:46+00:00,,,,,,,489721.8,6277231.0,3.0,X,
2024-11-26 23:34:47+00:00,,,,,,,489722.0,6277232.4,3.0,X,
2024-11-26 23:34:48+00:00,,,,,,,489722.1,6277233.9,3.0,X,
2024-11-26 23:34:49+00:00,,,,,,,489722.2,6277235.2,2.9,X,
2024-11-26 23:34:50+00:00,,,,,,,489722.2,6277236.6,2.9,X,
2024-11-26 23:34:51+00:00,,,,,,,489722.2,6277237.9,2.9,X,
2024-11-26 23:34:52+00:00,,,,,,,489722.3,6277239.2,2.9,X,
2024-11-26 23:34:53+00:00,,,,,,,489722.4,6277240.5,2.8,X,
2024-11-26 23:34:54+00:00,,,,,,,489722.4,6277241.9,2.8,X,
2024-11-26 23:34:55+00:00,,,,,,,489722.4,6277243.2,2.8,X,
2024-11-26 23:34:56+00:00,,,,,,,489722.2,6277244.5,2.8,X,
2024-11-26 23:34:57+00:00,,,,,,,489722.2,6277245.9,2.7,X,
2024-11-26 23:34:58+00:00,,,,,,,489722.1,6277247.2,2.7,X,
