Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m), Horizontal Accuracy(m)
16/9/2024 6:31:14 pm (UTC+1000), 6200642.05, 627413.59, 39.28, 0.02
16/9/2024 6:31:15 pm (UTC+1000), 6200641.83, 627412.36, 39.26, 0.02
16/9/2024 6:31:16 pm (UTC+1000), 6200641.6, 627411.18, 39.33, 0.02
16/9/2024 6:31:17 pm (UTC+1000), 6200641.43, 627409.99, 39.26, 0.02
16/9/2024 6:31:18 pm (UTC+1000), 6200641.27, 627408.77, 39.34, 0.02
16/9/2024 6:31:19 pm (UTC+1000), 6200641.11, 627407.53, 39.28, 0.02
16/9/2024 6:31:20 pm (UTC+1000), 6200640.91, 627406.34, 39.28, 0.02
16/9/2024 6:31:21 pm (UTC+1000), 6200640.76, 627405.1, 39.3, 0.02
16/9/2024 6:31:22 pm (UTC+1000), 6200640.62, 627403.83, 39.28, 0.02
16/9/2024 6:31:23 pm (UTC+1000), 6200640.47, 627402.55, 39.33, 0.02
16/9/2024 6:31:24 pm (UTC+1000), 6200640.19, 627401.35, 39.26, 0.02
16/9/2024 6:31:25 pm (UTC+1000), 6200639.86, 627400.14, 39.32, 0.02
16/9/2024 6:31:26 pm (UTC+1000), 6200639.58, 627398.9, 39.28, 0.02
16/9/2024 6:31:27 pm (UTC+1000), 6200639.4, 627397.63, 39.27, 0.02
16/9/2024 6:31:28 pm (UTC+1000), 6200639.23, 627396.39, 39.31, 0.02
16/9/2024 6:31:29 pm (UTC+1000), 6200638.99, 627395.14, 39.26, 0.02
16/9/2024 6:31:30 pm (UTC+1000), 6200638.72, 627393.98, 39.32, 0.02
16/9/2024 6:31:31 pm (UTC+1000), 6200638.45, 627392.77, 39.29, 0.02
16/9/2024 6:31:32 pm (UTC+1000), 6200638.28, 627391.56, 39.31, 0.02
16/9/2024 6:31:33 pm (UTC+1000), 6200638.13, 627390.34, 39.3, 0.02
16/9/2024 6:31:34 pm (UTC+1000), 6200637.89, 627389.11, 39.29, 0.02
16/9/2024 6:31:35 pm (UTC+1000), 6200637.65, 627387.88, 39.32, 0.02
16/9/2024 6:31:36 pm (UTC+1000), 6200637.55, 627386.64, 39.25, 0.02
16/9/2024 6:31:37 pm (UTC+1000), 6200637.51, 627385.42, 39.29, 0.02
16/9/2024 6:31:38 pm (UTC+1000), 6200637.41, 627384.21, 39.26, 0.02
16/9/2024 6:31:39 pm (UTC+1000), 6200637.29, 627383.03, 39.27, 0.02
16/9/2024 6:31:40 pm (UTC+1000), 6200637.16, 627381.82, 39.29, 0.02
16/9/2024 6:31:41 pm (UTC+1000), 6200636.87, 627380.61, 39.24, 0.02
16/9/2024 6:31:42 pm (UTC+1000), 6200636.58, 627379.37, 39.3, 0.02
16/9/2024 6:31:43 pm (UTC+1000), 6200636.2, 627378.17, 39.28, 0.02
16/9/2024 6:31:44 pm (UTC+1000), 6200635.94, 627376.95, 39.3, 0.02
16/9/2024 6:31:45 pm (UTC+1000), 6200635.71, 627375.73, 39.29, 0.02
16/9/2024 6:31:46 pm (UTC+1000), 6200635.51, 627374.53, 39.26, 0.02
16/9/2024 6:31:47 pm (UTC+1000), 6200635.4, 627373.36, 39.32, 0.02
16/9/2024 6:31:48 pm (UTC+1000), 6200635.25, 627372.17, 39.24, 0.02
16/9/2024 6:31:49 pm (UTC+1000), 6200635.04, 627370.89, 39.24, 0.02
16/9/2024 6:31:50 pm (UTC+1000), 6200634.89, 627369.67, 39.18, 0.02
16/9/2024 6:31:51 pm (UTC+1000), 6200634.8, 627368.5, 39.26, 0.03
16/9/2024 6:31:52 pm (UTC+1000), 6200634.6, 627367.35, 39.2, 0.03
16/9/2024 6:31:53 pm (UTC+1000), 6200634.38, 627366.19, 39.25, 0.03
16/9/2024 6:31:54 pm (UTC+1000), 6200634.2, 627365.03, 39.17, 0.03
16/9/2024 6:31:55 pm (UTC+1000), 6200634.01, 627363.81, 39.19, 0.03
16/9/2024 6:31:56 pm (UTC+1000), 6200633.73, 627362.59, 39.24, 0.02
16/9/2024 6:31:57 pm (UTC+1000), 6200633.39, 627361.42, 39.22, 0.02
16/9/2024 6:31:58 pm (UTC+1000), 6200633.03, 627360.28, 39.22, 0.02
16/9/2024 6:31:59 pm (UTC+1000), 6200632.67, 627359.08, 39.19, 0.02
16/9/2024 6:32:00 pm (UTC+1000), 6200632.16, 627357.98, 39.28, 0.02
16/9/2024 6:32:01 pm (UTC+1000), 6200631.71, 627356.95, 39.18, 0.02
16/9/2024 6:32:02 pm (UTC+1000), 6200631.37, 627355.78, 39.23, 0.02
16/9/2024 6:32:03 pm (UTC+1000), 6200631.18, 627354.58, 39.19, 0.02
16/9/2024 6:32:04 pm (UTC+1000), 6200631.05, 627353.38, 39.21, 0.02
16/9/2024 6:32:05 pm (UTC+1000), 6200630.77, 627352.25, 39.2, 0.03
16/9/2024 6:32:06 pm (UTC+1000), 6200630.52, 627351.05, 39.23, 0.02
16/9/2024 6:32:07 pm (UTC+1000), 6200630.37, 627349.87, 39.27, 0.02
16/9/2024 6:32:08 pm (UTC+1000), 6200630.18, 627348.68, 39.22, 0.02
16/9/2024 6:32:09 pm (UTC+1000), 6200629.99, 627347.52, 39.29, 0.02
16/9/2024 6:32:10 pm (UTC+1000), 6200629.77, 627346.39, 39.18, 0.02
16/9/2024 6:32:11 pm (UTC+1000), 6200629.48, 627345.3, 39.29, 0.02
16/9/2024 6:32:12 pm (UTC+1000), 6200629.3, 627344.1, 39.24, 0.02
16/9/2024 6:32:13 pm (UTC+1000), 6200629.04, 627342.98, 39.27, 0.02
16/9/2024 6:32:14 pm (UTC+1000), 6200628.78, 627341.8, 39.24, 0.02
16/9/2024 6:32:15 pm (UTC+1000), 6200628.45, 627340.67, 39.3, 0.02
16/9/2024 6:32:16 pm (UTC+1000), 6200628.21, 627339.55, 39.24, 0.02
16/9/2024 6:32:17 pm (UTC+1000), 6200627.96, 627338.39, 39.3, 0.02
16/9/2024 6:32:18 pm (UTC+1000), 6200627.65, 627337.24, 39.33, 0.02
16/9/2024 6:32:19 pm (UTC+1000), 6200627.4, 627336.13, 39.32, 0.03
16/9/2024 6:32:20 pm (UTC+1000), 6200627.42, 627334.94, 39.42, 0.03
16/9/2024 6:32:21 pm (UTC+1000), 6200627.3, 627333.69, 39.37, 0.03
16/9/2024 6:32:22 pm (UTC+1000), 6200627.01, 627332.57, 39.31, 0.03
16/9/2024 6:32:23 pm (UTC+1000), 6200626.61, 627331.41, 39.26, 0.03
16/9/2024 6:32:24 pm (UTC+1000), 6200626.25, 627330.28, 39.27, 0.03
16/9/2024 6:32:25 pm (UTC+1000), 6200625.97, 627329.09, 39.22, 0.03
16/9/2024 6:32:26 pm (UTC+1000), 6200625.72, 627327.93, 39.3, 0.03
16/9/2024 6:32:27 pm (UTC+1000), 6200625.37, 627326.76, 39.24, 0.03
16/9/2024 6:32:28 pm (UTC+1000), 6200625.01, 627325.58, 39.28, 0.02
16/9/2024 6:32:29 pm (UTC+1000), 6200624.71, 627324.4, 39.3, 0.03
16/9/2024 6:32:30 pm (UTC+1000), 6200624.47, 627323.22, 39.28, 0.02
16/9/2024 6:32:31 pm (UTC+1000), 6200624.3, 627322.01, 39.32, 0.02
16/9/2024 6:32:32 pm (UTC+1000), 6200624.13, 627320.83, 39.23, 0.02
16/9/2024 6:32:33 pm (UTC+1000), 6200623.84, 627319.68, 39.32, 0.03
16/9/2024 6:32:34 pm (UTC+1000), 6200623.49, 627318.56, 39.32, 0.03
16/9/2024 6:32:35 pm (UTC+1000), 6200622.98, 627317.41, 39.26, 0.03
16/9/2024 6:32:36 pm (UTC+1000), 6200622.44, 627316.28, 39.31, 0.04
16/9/2024 6:32:37 pm (UTC+1000), 6200621.78, 627315.2, 39.25, 0.04
16/9/2024 6:32:38 pm (UTC+1000), 6200621.19, 627314.16, 39.28, 0.04
16/9/2024 6:32:39 pm (UTC+1000), 6200620.61, 627313.12, 39.24, 0.05
16/9/2024 6:32:40 pm (UTC+1000), 6200620.07, 627312.17, 39.26, 0.04
16/9/2024 6:32:41 pm (UTC+1000), 6200619.55, 627311.06, 39.23, 0.04
16/9/2024 6:32:42 pm (UTC+1000), 6200619.17, 627309.99, 39.28, 0.04
16/9/2024 6:32:43 pm (UTC+1000), 6200618.76, 627308.78, 39.28, 0.04
16/9/2024 6:32:44 pm (UTC+1000), 6200618.36, 627307.56, 39.28, 0.03
16/9/2024 6:32:45 pm (UTC+1000), 6200617.98, 627306.42, 39.28, 0.03
16/9/2024 6:32:46 pm (UTC+1000), 6200617.54, 627305.35, 39.27, 0.03
16/9/2024 6:32:47 pm (UTC+1000), 6200617.37, 627304.16, 39.33, 0.03
16/9/2024 6:32:48 pm (UTC+1000), 6200617.43, 627302.91, 39.28, 0.03
16/9/2024 6:32:49 pm (UTC+1000), 6200617.65, 627301.69, 39.35, 0.03
16/9/2024 6:32:50 pm (UTC+1000), 6200617.72, 627300.46, 39.32, 0.02
16/9/2024 6:32:51 pm (UTC+1000), 6200617.73, 627299.33, 39.39, 0.02
16/9/2024 6:32:52 pm (UTC+1000), 6200617.71, 627298.14, 39.33, 0.02
16/9/2024 6:32:53 pm (UTC+1000), 6200617.5, 627297.01, 39.39, 0.02
16/9/2024 6:32:54 pm (UTC+1000), 6200617, 627295.92, 39.34, 0.02
16/9/2024 6:32:55 pm (UTC+1000), 6200616.45, 627294.85, 39.4, 0.02
16/9/2024 6:32:56 pm (UTC+1000), 6200615.97, 627293.78, 39.4, 0.02
16/9/2024 6:32:57 pm (UTC+1000), 6200615.66, 627292.65, 39.43, 0.02
16/9/2024 6:32:58 pm (UTC+1000), 6200615.28, 627291.48, 39.44, 0.03
16/9/2024 6:32:59 pm (UTC+1000), 6200614.88, 627290.31, 39.41, 0.03
16/9/2024 6:33:00 pm (UTC+1000), 6200614.35, 627289.2, 39.43, 0.02
16/9/2024 6:33:01 pm (UTC+1000), 6200613.79, 627288.09, 39.41, 0.02
16/9/2024 6:33:02 pm (UTC+1000), 6200613.21, 627287.08, 39.51, 0.02
16/9/2024 6:33:03 pm (UTC+1000), 6200612.59, 627286.09, 39.46, 0.02
16/9/2024 6:33:04 pm (UTC+1000), 6200612.16, 627284.94, 39.53, 0.02
16/9/2024 6:33:05 pm (UTC+1000), 6200611.9, 627283.72, 39.54, 0.02
16/9/2024 6:33:06 pm (UTC+1000), 6200611.64, 627282.53, 39.57, 0.02
16/9/2024 6:33:07 pm (UTC+1000), 6200611.41, 627281.39, 39.56, 0.02
16/9/2024 6:33:08 pm (UTC+1000), 6200611.18, 627280.29, 39.5, 0.02
16/9/2024 6:33:09 pm (UTC+1000), 6200611.03, 627279.21, 39.51, 0.02
16/9/2024 6:33:10 pm (UTC+1000), 6200610.85, 627278.16, 39.36, 0.02
16/9/2024 6:33:11 pm (UTC+1000), 6200610.58, 627277.12, 39.33, 0.02
16/9/2024 6:33:12 pm (UTC+1000), 6200610.33, 627276.09, 39.15, 0.02
16/9/2024 6:33:13 pm (UTC+1000), 6200609.94, 627274.93, 39.22, 0.02
16/9/2024 6:33:14 pm (UTC+1000), 6200609.63, 627273.8, 39.34, 0.02
16/9/2024 6:33:15 pm (UTC+1000), 6200609.31, 627272.67, 39.34, 0.02
16/9/2024 6:33:16 pm (UTC+1000), 6200609.04, 627271.49, 39.4, 0.02
16/9/2024 6:33:17 pm (UTC+1000), 6200608.7, 627270.3, 39.4, 0.02
16/9/2024 6:33:18 pm (UTC+1000), 6200608.35, 627269.06, 39.35, 0.02
16/9/2024 6:33:19 pm (UTC+1000), 6200608.06, 627267.86, 39.36, 0.02
16/9/2024 6:33:20 pm (UTC+1000), 6200607.74, 627266.65, 39.21, 0.02
16/9/2024 6:33:21 pm (UTC+1000), 6200607.39, 627265.38, 39.18, 0.02
16/9/2024 6:33:22 pm (UTC+1000), 6200607.03, 627264.13, 39.21, 0.02
16/9/2024 6:33:23 pm (UTC+1000), 6200606.64, 627262.94, 39.22, 0.02
16/9/2024 6:33:24 pm (UTC+1000), 6200606.3, 627261.78, 39.33, 0.02
16/9/2024 6:33:25 pm (UTC+1000), 6200605.95, 627260.6, 39.37, 0.02
16/9/2024 6:33:26 pm (UTC+1000), 6200605.57, 627259.4, 39.38, 0.02
16/9/2024 6:33:27 pm (UTC+1000), 6200605.23, 627258.2, 39.43, 0.01
16/9/2024 6:33:28 pm (UTC+1000), 6200604.77, 627257.06, 39.41, 0.02
16/9/2024 6:33:29 pm (UTC+1000), 6200604.29, 627255.95, 39.45, 0.02
16/9/2024 6:33:30 pm (UTC+1000), 6200603.87, 627254.9, 39.45, 0.02
16/9/2024 6:33:31 pm (UTC+1000), 6200603.6, 627253.68, 39.39, 0.02
16/9/2024 6:33:32 pm (UTC+1000), 6200603.36, 627252.45, 39.44, 0.02
16/9/2024 6:33:33 pm (UTC+1000), 6200602.89, 627251.32, 39.37, 0.02
16/9/2024 6:33:34 pm (UTC+1000), 6200602.47, 627250.24, 39.45, 0.02
16/9/2024 6:33:35 pm (UTC+1000), 6200602.1, 627249.1, 39.44, 0.02
16/9/2024 6:33:36 pm (UTC+1000), 6200601.7, 627248.1, 39.45, 0.02
16/9/2024 6:33:37 pm (UTC+1000), 6200601.35, 627247.07, 39.41, 0.02
16/9/2024 6:33:38 pm (UTC+1000), 6200601.11, 627245.99, 39.46, 0.02
16/9/2024 6:33:39 pm (UTC+1000), 6200601.03, 627244.86, 39.35, 0.03
16/9/2024 6:33:40 pm (UTC+1000), 6200600.84, 627243.77, 39.43, 0.02
16/9/2024 6:33:41 pm (UTC+1000), 6200600.44, 627242.76, 39.44, 0.03
16/9/2024 6:33:42 pm (UTC+1000), 6200600.03, 627241.78, 39.48, 0.03
16/9/2024 6:33:43 pm (UTC+1000), 6200599.77, 627240.73, 39.46, 0.03
16/9/2024 6:33:44 pm (UTC+1000), 6200599.67, 627239.64, 39.45, 0.03
16/9/2024 6:33:45 pm (UTC+1000), 6200599.44, 627238.6, 39.42, 0.03
16/9/2024 6:33:46 pm (UTC+1000), 6200598.94, 627237.62, 39.56, 0.03
16/9/2024 6:33:47 pm (UTC+1000), 6200598.55, 627236.77, 39.39, 0.04
16/9/2024 6:33:48 pm (UTC+1000), 6200598.36, 627235.6, 39.44, 0.03
16/9/2024 6:33:49 pm (UTC+1000), 6200598.14, 627234.48, 39.43, 0.03
16/9/2024 6:33:50 pm (UTC+1000), 6200597.83, 627233.38, 39.47, 0.04
16/9/2024 6:33:51 pm (UTC+1000), 6200597.88, 627232.26, 39.39, 0.04
16/9/2024 6:33:52 pm (UTC+1000), 6200598.03, 627231.08, 39.33, 0.04
16/9/2024 6:33:53 pm (UTC+1000), 6200597.93, 627229.86, 39.29, 0.04
16/9/2024 6:33:54 pm (UTC+1000), 6200597.7, 627228.58, 39.37, 0.03
16/9/2024 6:33:55 pm (UTC+1000), 6200597.44, 627227.42, 39.39, 0.04
16/9/2024 6:33:56 pm (UTC+1000), 6200597.14, 627226.25, 39.35, 0.03
16/9/2024 6:33:57 pm (UTC+1000), 6200596.87, 627225.11, 39.38, 0.03
16/9/2024 6:33:58 pm (UTC+1000), 6200596.48, 627224.01, 39.37, 0.03
16/9/2024 6:33:59 pm (UTC+1000), 6200596.04, 627222.95, 39.42, 0.03
16/9/2024 6:34:00 pm (UTC+1000), 6200595.65, 627221.83, 39.39, 0.03
16/9/2024 6:34:01 pm (UTC+1000), 6200595.34, 627220.64, 39.39, 0.03
16/9/2024 6:34:02 pm (UTC+1000), 6200595.1, 627219.42, 39.36, 0.03
16/9/2024 6:34:03 pm (UTC+1000), 6200594.83, 627218.18, 39.33, 0.03
16/9/2024 6:34:04 pm (UTC+1000), 6200594.58, 627217.04, 39.36, 0.03
16/9/2024 6:34:05 pm (UTC+1000), 6200594.21, 627215.93, 39.34, 0.03
16/9/2024 6:34:06 pm (UTC+1000), 6200593.79, 627214.87, 39.36, 0.02
16/9/2024 6:34:07 pm (UTC+1000), 6200593.26, 627213.86, 39.32, 0.03
16/9/2024 6:34:08 pm (UTC+1000), 6200592.82, 627212.73, 39.37, 0.02
16/9/2024 6:34:09 pm (UTC+1000), 6200592.51, 627211.55, 39.29, 0.02
16/9/2024 6:34:10 pm (UTC+1000), 6200592.17, 627210.38, 39.35, 0.02
16/9/2024 6:34:11 pm (UTC+1000), 6200591.94, 627209.15, 39.29, 0.02
16/9/2024 6:34:12 pm (UTC+1000), 6200591.73, 627207.99, 39.33, 0.02
16/9/2024 6:34:13 pm (UTC+1000), 6200591.47, 627206.78, 39.32, 0.02
16/9/2024 6:34:14 pm (UTC+1000), 6200591.14, 627205.61, 39.3, 0.02
16/9/2024 6:34:15 pm (UTC+1000), 6200590.83, 627204.45, 39.29, 0.02
16/9/2024 6:34:16 pm (UTC+1000), 6200590.56, 627203.24, 39.3, 0.02
16/9/2024 6:34:17 pm (UTC+1000), 6200590.31, 627202.04, 39.33, 0.02
16/9/2024 6:34:18 pm (UTC+1000), 6200590.03, 627200.84, 39.26, 0.02
16/9/2024 6:34:19 pm (UTC+1000), 6200589.87, 627199.63, 39.28, 0.02
16/9/2024 6:34:20 pm (UTC+1000), 6200589.74, 627198.35, 39.22, 0.02
16/9/2024 6:34:21 pm (UTC+1000), 6200589.51, 627197.15, 39.27, 0.02
16/9/2024 6:34:22 pm (UTC+1000), 6200589.33, 627195.94, 39.23, 0.02
16/9/2024 6:34:23 pm (UTC+1000), 6200589.17, 627194.77, 39.25, 0.02
16/9/2024 6:34:24 pm (UTC+1000), 6200589.06, 627193.56, 39.19, 0.02
16/9/2024 6:34:25 pm (UTC+1000), 6200588.8, 627192.44, 39.21, 0.02
16/9/2024 6:34:26 pm (UTC+1000), 6200588.6, 627191.33, 39.12, 0.02
16/9/2024 6:34:27 pm (UTC+1000), 6200588.36, 627190.13, 39.14, 0.02
16/9/2024 6:34:28 pm (UTC+1000), 6200588.13, 627188.91, 39.14, 0.02
16/9/2024 6:34:29 pm (UTC+1000), 6200587.92, 627187.76, 39.14, 0.02
16/9/2024 6:34:30 pm (UTC+1000), 6200587.64, 627186.56, 39.18, 0.02
16/9/2024 6:34:31 pm (UTC+1000), 6200587.52, 627185.35, 39.1, 0.02
16/9/2024 6:34:32 pm (UTC+1000), 6200587.44, 627184.18, 39.15, 0.02
16/9/2024 6:34:33 pm (UTC+1000), 6200587.38, 627182.98, 39.09, 0.02
16/9/2024 6:34:34 pm (UTC+1000), 6200587.43, 627181.81, 39.14, 0.02
16/9/2024 6:34:35 pm (UTC+1000), 6200587.65, 627180.56, 39.09, 0.02
16/9/2024 6:34:36 pm (UTC+1000), 6200587.88, 627179.34, 39.05, 0.02
16/9/2024 6:34:37 pm (UTC+1000), 6200588.03, 627178.16, 39.1, 0.02
16/9/2024 6:34:38 pm (UTC+1000), 6200587.97, 627176.96, 39.02, 0.02
16/9/2024 6:34:39 pm (UTC+1000), 6200587.84, 627175.82, 39.07, 0.02
16/9/2024 6:34:40 pm (UTC+1000), 6200587.67, 627174.64, 39, 0.02
16/9/2024 6:34:41 pm (UTC+1000), 6200587.55, 627173.39, 39.04, 0.02
16/9/2024 6:34:42 pm (UTC+1000), 6200587.43, 627172.16, 39.03, 0.02
16/9/2024 6:34:43 pm (UTC+1000), 6200587.19, 627170.93, 38.98, 0.02
16/9/2024 6:34:44 pm (UTC+1000), 6200587.04, 627169.71, 39.05, 0.02
16/9/2024 6:34:45 pm (UTC+1000), 6200586.87, 627168.5, 39.01, 0.03
16/9/2024 6:34:46 pm (UTC+1000), 6200586.61, 627167.31, 39.02, 0.02
16/9/2024 6:34:47 pm (UTC+1000), 6200586.22, 627166.12, 38.97, 0.02
16/9/2024 6:34:48 pm (UTC+1000), 6200585.72, 627164.89, 38.97, 0.02
16/9/2024 6:34:49 pm (UTC+1000), 6200585.25, 627163.66, 39.02, 0.02
16/9/2024 6:34:50 pm (UTC+1000), 6200584.83, 627162.44, 38.97, 0.02
16/9/2024 6:34:51 pm (UTC+1000), 6200584.57, 627161.2, 38.96, 0.02
16/9/2024 6:34:52 pm (UTC+1000), 6200584.26, 627160, 39.02, 0.02
16/9/2024 6:34:53 pm (UTC+1000), 6200584.07, 627158.78, 38.9, 0.02
16/9/2024 6:34:54 pm (UTC+1000), 6200583.9, 627157.49, 38.94, 0.02
16/9/2024 6:34:55 pm (UTC+1000), 6200583.81, 627156.15, 38.91, 0.02
16/9/2024 6:34:56 pm (UTC+1000), 6200583.82, 627154.85, 38.84, 0.02
16/9/2024 6:34:57 pm (UTC+1000), 6200583.89, 627153.59, 38.86, 0.02
16/9/2024 6:34:58 pm (UTC+1000), 6200583.99, 627152.33, 38.82, 0.02
16/9/2024 6:34:59 pm (UTC+1000), 6200583.86, 627151.13, 38.83, 0.02
16/9/2024 6:35:00 pm (UTC+1000), 6200583.68, 627149.88, 38.81, 0.02
16/9/2024 6:35:01 pm (UTC+1000), 6200583.57, 627148.62, 38.76, 0.02
16/9/2024 6:35:02 pm (UTC+1000), 6200583.46, 627147.37, 38.79, 0.02
16/9/2024 6:35:03 pm (UTC+1000), 6200583.32, 627146.1, 38.72, 0.02
16/9/2024 6:35:04 pm (UTC+1000), 6200583.07, 627144.89, 38.76, 0.02
16/9/2024 6:35:05 pm (UTC+1000), 6200582.81, 627143.72, 38.74, 0.02
16/9/2024 6:35:06 pm (UTC+1000), 6200582.46, 627142.6, 38.74, 0.02
16/9/2024 6:35:07 pm (UTC+1000), 6200582.16, 627141.49, 38.71, 0.02
16/9/2024 6:35:08 pm (UTC+1000), 6200582.1, 627140.31, 38.72, 0.02
16/9/2024 6:35:09 pm (UTC+1000), 6200582.16, 627139.06, 38.74, 0.02
16/9/2024 6:35:10 pm (UTC+1000), 6200582.05, 627137.83, 38.67, 0.02
16/9/2024 6:35:11 pm (UTC+1000), 6200581.9, 627136.7, 38.72, 0.02
16/9/2024 6:35:12 pm (UTC+1000), 6200581.67, 627135.58, 38.67, 0.02
16/9/2024 6:35:13 pm (UTC+1000), 6200581.29, 627134.5, 38.72, 0.02
16/9/2024 6:35:14 pm (UTC+1000), 6200581.01, 627133.41, 38.66, 0.02
16/9/2024 6:35:15 pm (UTC+1000), 6200580.94, 627132.26, 38.71, 0.02
16/9/2024 6:35:16 pm (UTC+1000), 6200580.71, 627131.1, 38.65, 0.02
16/9/2024 6:35:17 pm (UTC+1000), 6200580.43, 627129.9, 38.67, 0.02
16/9/2024 6:35:18 pm (UTC+1000), 6200580.24, 627128.74, 38.67, 0.02
16/9/2024 6:35:19 pm (UTC+1000), 6200580.09, 627127.54, 38.63, 0.02
16/9/2024 6:35:20 pm (UTC+1000), 6200580.02, 627126.34, 38.66, 0.02
16/9/2024 6:35:21 pm (UTC+1000), 6200580.03, 627125.12, 38.63, 0.02
16/9/2024 6:35:22 pm (UTC+1000), 6200579.94, 627123.92, 38.62, 0.02
16/9/2024 6:35:23 pm (UTC+1000), 6200579.73, 627122.71, 38.57, 0.02
16/9/2024 6:35:24 pm (UTC+1000), 6200579.52, 627121.5, 38.64, 0.02
16/9/2024 6:35:25 pm (UTC+1000), 6200579.28, 627120.28, 38.6, 0.02
16/9/2024 6:35:26 pm (UTC+1000), 6200579.05, 627119.06, 38.58, 0.02
16/9/2024 6:35:27 pm (UTC+1000), 6200578.84, 627117.87, 38.61, 0.02
16/9/2024 6:35:28 pm (UTC+1000), 6200578.71, 627116.68, 38.57, 0.02
16/9/2024 6:35:29 pm (UTC+1000), 6200578.63, 627115.51, 38.58, 0.02
16/9/2024 6:35:30 pm (UTC+1000), 6200578.46, 627114.33, 38.57, 0.02
16/9/2024 6:35:31 pm (UTC+1000), 6200578.23, 627113.21, 38.59, 0.02
16/9/2024 6:35:32 pm (UTC+1000), 6200578.01, 627112.01, 38.56, 0.02
16/9/2024 6:35:33 pm (UTC+1000), 6200577.8, 627110.75, 38.55, 0.02
16/9/2024 6:35:34 pm (UTC+1000), 6200577.57, 627109.53, 38.54, 0.02
16/9/2024 6:35:35 pm (UTC+1000), 6200577.18, 627108.33, 38.49, 0.02
16/9/2024 6:35:36 pm (UTC+1000), 6200576.75, 627107.15, 38.58, 0.02
16/9/2024 6:35:37 pm (UTC+1000), 6200576.32, 627105.98, 38.6, 0.02
16/9/2024 6:35:38 pm (UTC+1000), 6200575.91, 627104.77, 38.54, 0.02
16/9/2024 6:35:39 pm (UTC+1000), 6200575.69, 627103.62, 38.59, 0.02
16/9/2024 6:35:40 pm (UTC+1000), 6200575.51, 627102.44, 38.52, 0.02
16/9/2024 6:35:41 pm (UTC+1000), 6200575.34, 627101.26, 38.56, 0.02
16/9/2024 6:35:42 pm (UTC+1000), 6200575.16, 627100.04, 38.54, 0.02
16/9/2024 6:35:43 pm (UTC+1000), 6200574.89, 627098.8, 38.54, 0.02
16/9/2024 6:35:44 pm (UTC+1000), 6200574.51, 627097.69, 38.54, 0.02
16/9/2024 6:35:45 pm (UTC+1000), 6200574.09, 627096.59, 38.49, 0.02
16/9/2024 6:35:46 pm (UTC+1000), 6200573.66, 627095.46, 38.57, 0.02
16/9/2024 6:35:47 pm (UTC+1000), 6200573.33, 627094.31, 38.5, 0.02
16/9/2024 6:35:48 pm (UTC+1000), 6200573.14, 627093.15, 38.59, 0.02
16/9/2024 6:35:49 pm (UTC+1000), 6200572.92, 627091.93, 38.54, 0.02
16/9/2024 6:35:50 pm (UTC+1000), 6200572.58, 627090.78, 38.58, 0.02
16/9/2024 6:35:51 pm (UTC+1000), 6200572.2, 627089.69, 38.58, 0.02
16/9/2024 6:35:52 pm (UTC+1000), 6200571.79, 627088.62, 38.58, 0.02
16/9/2024 6:35:53 pm (UTC+1000), 6200571.27, 627087.62, 38.56, 0.02
16/9/2024 6:35:54 pm (UTC+1000), 6200570.76, 627086.58, 38.63, 0.02
16/9/2024 6:35:55 pm (UTC+1000), 6200570.48, 627085.48, 38.61, 0.02
16/9/2024 6:35:56 pm (UTC+1000), 6200570.22, 627084.34, 38.61, 0.02
16/9/2024 6:35:57 pm (UTC+1000), 6200569.86, 627083.24, 38.66, 0.03
16/9/2024 6:35:58 pm (UTC+1000), 6200569.39, 627082.26, 38.66, 0.02
16/9/2024 6:35:59 pm (UTC+1000), 6200568.93, 627081.23, 38.66, 0.03
16/9/2024 6:36:00 pm (UTC+1000), 6200568.75, 627080.13, 38.6, 0.02
16/9/2024 6:36:01 pm (UTC+1000), 6200568.6, 627079.02, 38.61, 0.03
16/9/2024 6:36:02 pm (UTC+1000), 6200568.5, 627077.87, 38.61, 0.03
16/9/2024 6:36:03 pm (UTC+1000), 6200568.58, 627076.65, 38.63, 0.03
16/9/2024 6:36:04 pm (UTC+1000), 6200568.83, 627075.47, 38.58, 0.02
16/9/2024 6:36:05 pm (UTC+1000), 6200568.96, 627074.28, 38.62, 0.03
16/9/2024 6:36:06 pm (UTC+1000), 6200568.85, 627073.14, 38.59, 0.02
16/9/2024 6:36:07 pm (UTC+1000), 6200568.64, 627072.02, 38.65, 0.02
16/9/2024 6:36:08 pm (UTC+1000), 6200568.28, 627070.91, 38.6, 0.02
16/9/2024 6:36:09 pm (UTC+1000), 6200567.87, 627069.82, 38.69, 0.02
16/9/2024 6:36:10 pm (UTC+1000), 6200567.41, 627068.68, 38.63, 0.02
16/9/2024 6:36:11 pm (UTC+1000), 6200566.93, 627067.55, 38.69, 0.02
16/9/2024 6:36:12 pm (UTC+1000), 6200566.51, 627066.35, 38.69, 0.02
16/9/2024 6:36:13 pm (UTC+1000), 6200566.15, 627065.09, 38.66, 0.02
16/9/2024 6:36:14 pm (UTC+1000), 6200565.78, 627063.84, 38.71, 0.02
16/9/2024 6:36:15 pm (UTC+1000), 6200565.42, 627062.6, 38.65, 0.02
16/9/2024 6:36:16 pm (UTC+1000), 6200564.97, 627061.39, 38.73, 0.02
