Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m),Vertical Accuracy(m)
27/01/2026 11:50:40 AM (UTC+1030),6278112.109,494275.137,97.523,1.192
27/01/2026 11:50:41 AM (UTC+1030),6278112.11,494275.139,97.52,1.192
27/01/2026 11:50:42 AM (UTC+1030),6278112.083,494275.147,97.548,1.09
27/01/2026 11:50:43 AM (UTC+1030),6278112.081,494275.149,97.547,1.09
27/01/2026 11:50:44 AM (UTC+1030),6278112.171,494275.116,97.489,1.242
27/01/2026 11:50:45 AM (UTC+1030),6278112.178,494275.094,97.455,1.142
27/01/2026 11:50:46 AM (UTC+1030),6278112.178,494275.093,97.456,1.142
27/01/2026 11:50:47 AM (UTC+1030),6278112.067,494275.133,97.5,0.788
27/01/2026 11:50:48 AM (UTC+1030),6278112.067,494275.128,97.502,0.788
27/01/2026 11:50:49 AM (UTC+1030),6278112.067,494275.129,97.504,0.788
27/01/2026 11:50:50 AM (UTC+1030),6278112.079,494275.127,97.487,0.811
27/01/2026 11:50:51 AM (UTC+1030),6278112.077,494275.127,97.489,0.813
27/01/2026 11:50:52 AM (UTC+1030),6278112.052,494275.13,97.486,0.711
27/01/2026 11:50:53 AM (UTC+1030),6278112.052,494275.13,97.485,0.711
27/01/2026 11:50:54 AM (UTC+1030),6278112.037,494275.148,97.493,0.627
27/01/2026 11:50:55 AM (UTC+1030),6278112.039,494275.149,97.491,0.627
27/01/2026 11:50:56 AM (UTC+1030),6278112.02,494275.155,97.497,0.542
27/01/2026 11:50:57 AM (UTC+1030),6278112.019,494275.154,97.493,0.542
27/01/2026 11:50:58 AM (UTC+1030),6278112.025,494275.156,97.497,0.568
27/01/2026 11:50:59 AM (UTC+1030),6278112.025,494275.155,97.494,0.568
27/01/2026 11:51:00 AM (UTC+1030),6278112.024,494275.156,97.496,0.568
27/01/2026 11:51:01 AM (UTC+1030),6278112.023,494275.151,97.49,0.538
27/01/2026 11:51:02 AM (UTC+1030),6278112.024,494275.148,97.492,0.552
27/01/2026 11:51:03 AM (UTC+1030),6278112.011,494275.149,97.503,0.489
27/01/2026 11:51:04 AM (UTC+1030),6278112.013,494275.148,97.495,0.489
27/01/2026 11:51:05 AM (UTC+1030),6278112.011,494275.149,97.499,0.489
27/01/2026 11:51:06 AM (UTC+1030),6278112.009,494275.145,97.497,0.483
27/01/2026 11:51:07 AM (UTC+1030),6278112.01,494275.147,97.499,0.483
27/01/2026 11:51:08 AM (UTC+1030),6278112.006,494275.153,97.503,0.461
27/01/2026 11:51:09 AM (UTC+1030),6278112.007,494275.154,97.498,0.461
27/01/2026 11:51:10 AM (UTC+1030),6278112.01,494275.156,97.506,0.458
27/01/2026 11:51:11 AM (UTC+1030),6278112.009,494275.156,97.504,0.458
27/01/2026 11:51:12 AM (UTC+1030),6278111.979,494275.162,97.49,0.294
27/01/2026 11:51:13 AM (UTC+1030),6278111.977,494275.161,97.487,0.294
27/01/2026 11:51:14 AM (UTC+1030),6278111.976,494275.147,97.494,0.306
27/01/2026 11:51:15 AM (UTC+1030),6278111.969,494275.141,97.484,0.292
27/01/2026 11:51:16 AM (UTC+1030),6278111.97,494275.141,97.484,0.294
27/01/2026 11:51:17 AM (UTC+1030),6278111.976,494275.137,97.492,0.315
27/01/2026 11:51:18 AM (UTC+1030),6278111.975,494275.138,97.489,0.315
27/01/2026 11:51:19 AM (UTC+1030),6278111.974,494275.14,97.491,0.315
27/01/2026 11:51:20 AM (UTC+1030),6278111.983,494275.145,97.493,0.317
27/01/2026 11:51:21 AM (UTC+1030),6278111.981,494275.144,97.491,0.317
27/01/2026 11:51:22 AM (UTC+1030),6278111.984,494275.148,97.493,0.325
27/01/2026 11:51:23 AM (UTC+1030),6278111.982,494275.146,97.491,0.325
27/01/2026 11:51:24 AM (UTC+1030),6278111.98,494275.147,97.486,0.319
27/01/2026 11:51:25 AM (UTC+1030),6278111.979,494275.148,97.484,0.319
27/01/2026 11:51:26 AM (UTC+1030),6278111.988,494275.144,97.49,0.336
27/01/2026 11:51:27 AM (UTC+1030),6278111.987,494275.141,97.492,0.336
27/01/2026 11:51:28 AM (UTC+1030),6278111.979,494275.14,97.493,0.341
27/01/2026 11:51:29 AM (UTC+1030),6278111.982,494275.138,97.492,0.341
27/01/2026 11:51:30 AM (UTC+1030),6278111.984,494275.141,97.494,0.341
27/01/2026 11:51:31 AM (UTC+1030),6278111.985,494275.14,97.498,0.341
27/01/2026 11:51:32 AM (UTC+1030),6278111.978,494275.15,97.495,0.306
27/01/2026 11:51:33 AM (UTC+1030),6278111.981,494275.149,97.496,0.306
27/01/2026 11:51:34 AM (UTC+1030),6278111.999,494275.128,97.518,0.373
27/01/2026 11:51:35 AM (UTC+1030),6278112.002,494275.128,97.516,0.373
27/01/2026 11:51:36 AM (UTC+1030),6278111.997,494275.133,97.514,0.362
27/01/2026 11:51:37 AM (UTC+1030),6278111.998,494275.131,97.516,0.362
27/01/2026 11:51:38 AM (UTC+1030),6278111.972,494275.162,97.481,0.26
27/01/2026 11:51:39 AM (UTC+1030),6278111.972,494275.162,97.483,0.26
27/01/2026 11:51:40 AM (UTC+1030),6278111.97,494275.168,97.478,0.252
27/01/2026 11:51:41 AM (UTC+1030),6278111.968,494275.165,97.479,0.252
27/01/2026 11:51:42 AM (UTC+1030),6278111.972,494275.168,97.482,0.252
27/01/2026 11:51:43 AM (UTC+1030),6278111.972,494275.166,97.483,0.252
27/01/2026 11:51:44 AM (UTC+1030),6278111.975,494275.173,97.474,0.273
27/01/2026 11:51:45 AM (UTC+1030),6278111.979,494275.174,97.469,0.273
27/01/2026 11:51:46 AM (UTC+1030),6278111.972,494275.176,97.466,0.258
27/01/2026 11:51:47 AM (UTC+1030),6278111.97,494275.177,97.465,0.258
27/01/2026 11:51:48 AM (UTC+1030),6278111.973,494275.184,97.459,0.239
27/01/2026 11:51:49 AM (UTC+1030),6278111.972,494275.184,97.462,0.239
27/01/2026 11:51:50 AM (UTC+1030),6278111.976,494275.185,97.463,0.24
27/01/2026 11:51:51 AM (UTC+1030),6278111.978,494275.183,97.459,0.24
27/01/2026 11:51:52 AM (UTC+1030),6278111.972,494275.185,97.467,0.241
27/01/2026 11:51:53 AM (UTC+1030),6278111.975,494275.183,97.463,0.241
27/01/2026 11:51:54 AM (UTC+1030),6278111.978,494275.183,97.473,0.252
27/01/2026 11:51:55 AM (UTC+1030),6278111.978,494275.183,97.47,0.252
27/01/2026 11:51:56 AM (UTC+1030),6278111.986,494275.188,97.462,0.264
27/01/2026 11:51:57 AM (UTC+1030),6278111.984,494275.187,97.467,0.264
27/01/2026 11:51:58 AM (UTC+1030),6278111.986,494275.189,97.467,0.263
27/01/2026 11:51:59 AM (UTC+1030),6278111.987,494275.188,97.469,0.263
27/01/2026 11:52:00 AM (UTC+1030),6278111.985,494275.186,97.469,0.265
27/01/2026 11:52:01 AM (UTC+1030),6278111.984,494275.187,97.474,0.265
27/01/2026 11:52:02 AM (UTC+1030),6278111.984,494275.18,97.481,0.256
27/01/2026 11:52:03 AM (UTC+1030),6278111.987,494275.187,97.471,0.256
27/01/2026 11:52:04 AM (UTC+1030),6278112.005,494275.162,97.513,0.349
27/01/2026 11:52:05 AM (UTC+1030),6278112.002,494275.161,97.514,0.349
27/01/2026 11:52:06 AM (UTC+1030),6278111.982,494275.185,97.479,0.256
27/01/2026 11:52:07 AM (UTC+1030),6278111.985,494275.186,97.47,0.256
27/01/2026 11:52:08 AM (UTC+1030),6278111.971,494275.185,97.473,0.215
27/01/2026 11:52:09 AM (UTC+1030),6278111.972,494275.187,97.474,0.215
27/01/2026 11:52:10 AM (UTC+1030),6278111.97,494275.188,97.466,0.199
27/01/2026 11:52:11 AM (UTC+1030),6278111.97,494275.194,97.463,0.197
27/01/2026 11:52:12 AM (UTC+1030),6278111.969,494275.192,97.463,0.197
27/01/2026 11:52:13 AM (UTC+1030),6278111.969,494275.191,97.46,0.197
27/01/2026 11:52:14 AM (UTC+1030),6278111.971,494275.198,97.456,0.196
27/01/2026 11:52:15 AM (UTC+1030),6278111.97,494275.199,97.454,0.196
27/01/2026 11:52:16 AM (UTC+1030),6278111.968,494275.198,97.455,0.196
