Gnss DateTime (Local Time), Northing(m), Easting(m), Height MSL(m),Vertical Accuracy(m)
27/01/2026 01:02:52 PM (UTC+1030),6277539.093,491684.257,17.143,0.119
27/01/2026 01:02:53 PM (UTC+1030),6277538.828,491683.333,17.193,0.119
27/01/2026 01:02:54 PM (UTC+1030),6277538.582,491682.528,17.25,0.112
27/01/2026 01:02:55 PM (UTC+1030),6277538.384,491681.682,17.334,0.11
27/01/2026 01:02:56 PM (UTC+1030),6277538.197,491680.897,17.388,0.112
27/01/2026 01:02:57 PM (UTC+1030),6277538.029,491680.132,17.4,0.112
27/01/2026 01:02:58 PM (UTC+1030),6277537.805,491679.381,17.457,0.11
27/01/2026 01:02:59 PM (UTC+1030),6277537.478,491678.635,17.516,0.11
27/01/2026 01:03:00 PM (UTC+1030),6277537.089,491677.841,17.555,0.11
27/01/2026 01:03:01 PM (UTC+1030),6277536.812,491677.105,17.657,0.112
27/01/2026 01:03:02 PM (UTC+1030),6277536.556,491676.329,17.738,0.111
27/01/2026 01:03:03 PM (UTC+1030),6277536.328,491675.58,17.761,0.111
27/01/2026 01:03:04 PM (UTC+1030),6277536.01,491674.849,17.86,0.109
27/01/2026 01:03:05 PM (UTC+1030),6277535.717,491674.155,17.955,0.109
27/01/2026 01:03:06 PM (UTC+1030),6277535.387,491673.431,17.996,0.109
27/01/2026 01:03:07 PM (UTC+1030),6277535.027,491672.801,18.102,0.109
27/01/2026 01:03:08 PM (UTC+1030),6277534.652,491672.087,18.174,0.109
27/01/2026 01:03:09 PM (UTC+1030),6277534.392,491671.39,18.225,0.109
27/01/2026 01:03:10 PM (UTC+1030),6277534.179,491670.568,18.227,0.107
27/01/2026 01:03:11 PM (UTC+1030),6277533.962,491669.706,18.327,0.109
27/01/2026 01:03:12 PM (UTC+1030),6277533.759,491668.91,18.439,0.109
27/01/2026 01:03:13 PM (UTC+1030),6277533.456,491668.171,18.562,0.111
27/01/2026 01:03:14 PM (UTC+1030),6277533.186,491667.537,18.722,0.108
27/01/2026 01:03:15 PM (UTC+1030),6277532.964,491666.764,18.805,0.11
27/01/2026 01:03:16 PM (UTC+1030),6277532.868,491666.056,18.853,0.11
27/01/2026 01:03:17 PM (UTC+1030),6277532.655,491665.333,18.959,0.11
27/01/2026 01:03:18 PM (UTC+1030),6277532.46,491664.604,19.071,0.11
27/01/2026 01:03:19 PM (UTC+1030),6277532.284,491664.017,19.165,0.116
27/01/2026 01:03:20 PM (UTC+1030),6277532.188,491663.209,19.191,0.111
27/01/2026 01:03:21 PM (UTC+1030),6277532.063,491662.556,19.33,0.112
27/01/2026 01:03:22 PM (UTC+1030),6277531.885,491661.901,19.433,0.109
27/01/2026 01:03:23 PM (UTC+1030),6277531.715,491661.181,19.489,0.109
27/01/2026 01:03:24 PM (UTC+1030),6277531.663,491660.417,19.596,0.107
27/01/2026 01:03:25 PM (UTC+1030),6277531.575,491659.756,19.678,0.107
27/01/2026 01:03:26 PM (UTC+1030),6277531.591,491659.013,19.707,0.106
27/01/2026 01:03:27 PM (UTC+1030),6277531.403,491658.296,19.818,0.106
27/01/2026 01:03:28 PM (UTC+1030),6277531.065,491657.594,19.813,0.106
27/01/2026 01:03:29 PM (UTC+1030),6277530.748,491656.806,19.95,0.107
27/01/2026 01:03:30 PM (UTC+1030),6277530.586,491656.021,20.048,0.107
27/01/2026 01:03:31 PM (UTC+1030),6277530.559,491655.176,20.065,0.106
27/01/2026 01:03:32 PM (UTC+1030),6277530.562,491654.475,20.155,0.106
27/01/2026 01:03:33 PM (UTC+1030),6277530.492,491653.586,20.214,0.106
27/01/2026 01:03:34 PM (UTC+1030),6277530.32,491652.767,20.306,0.106
27/01/2026 01:03:35 PM (UTC+1030),6277530.237,491651.924,20.302,0.106
27/01/2026 01:03:36 PM (UTC+1030),6277530.123,491651.103,20.326,0.106
27/01/2026 01:03:37 PM (UTC+1030),6277530.034,491650.327,20.269,0.106
27/01/2026 01:03:38 PM (UTC+1030),6277529.837,491649.589,20.296,0.107
27/01/2026 01:03:39 PM (UTC+1030),6277529.763,491648.834,20.232,0.106
27/01/2026 01:03:40 PM (UTC+1030),6277529.549,491648.064,20.141,0.103
27/01/2026 01:03:41 PM (UTC+1030),6277529.279,491647.45,20.111,0.105
27/01/2026 01:03:42 PM (UTC+1030),6277529.215,491646.689,19.989,0.106
27/01/2026 01:03:43 PM (UTC+1030),6277529.116,491645.909,19.998,0.106
27/01/2026 01:03:44 PM (UTC+1030),6277529.03,491645.142,19.932,0.106
27/01/2026 01:03:45 PM (UTC+1030),6277528.984,491644.329,19.907,0.106
27/01/2026 01:03:46 PM (UTC+1030),6277528.923,491643.562,19.895,0.104
27/01/2026 01:03:47 PM (UTC+1030),6277528.939,491642.67,19.805,0.104
27/01/2026 01:03:48 PM (UTC+1030),6277528.985,491641.837,19.785,0.102
27/01/2026 01:03:49 PM (UTC+1030),6277528.986,491640.941,19.698,0.102
27/01/2026 01:03:50 PM (UTC+1030),6277528.968,491640.042,19.632,0.1
27/01/2026 01:03:51 PM (UTC+1030),6277528.923,491639.104,19.691,0.102
27/01/2026 01:03:52 PM (UTC+1030),6277528.975,491638.216,19.647,0.1
27/01/2026 01:03:53 PM (UTC+1030),6277528.929,491637.395,19.638,0.099
27/01/2026 01:03:54 PM (UTC+1030),6277528.826,491636.463,19.559,0.1
27/01/2026 01:03:55 PM (UTC+1030),6277528.74,491635.454,19.508,0.102
27/01/2026 01:03:56 PM (UTC+1030),6277528.67,491634.551,19.486,0.102
27/01/2026 01:03:57 PM (UTC+1030),6277528.534,491633.632,19.384,0.102
27/01/2026 01:03:58 PM (UTC+1030),6277528.522,491632.679,19.351,0.103
27/01/2026 01:03:59 PM (UTC+1030),6277528.382,491631.747,19.236,0.103
27/01/2026 01:04:00 PM (UTC+1030),6277528.209,491630.827,19.202,0.101
27/01/2026 01:04:01 PM (UTC+1030),6277527.976,491629.965,19.131,0.103
27/01/2026 01:04:02 PM (UTC+1030),6277527.768,491629.079,19.087,0.103
27/01/2026 01:04:03 PM (UTC+1030),6277527.754,491628.25,18.952,0.103
27/01/2026 01:04:04 PM (UTC+1030),6277527.613,491627.372,18.888,0.104
27/01/2026 01:04:05 PM (UTC+1030),6277527.448,491626.557,18.8,0.104
27/01/2026 01:04:06 PM (UTC+1030),6277527.215,491625.768,18.754,0.102
27/01/2026 01:04:07 PM (UTC+1030),6277527.011,491624.979,18.622,0.102
27/01/2026 01:04:08 PM (UTC+1030),6277526.732,491624.022,18.524,0.102
27/01/2026 01:04:09 PM (UTC+1030),6277526.493,491623.184,18.484,0.104
27/01/2026 01:04:10 PM (UTC+1030),6277526.161,491622.181,18.365,0.104
27/01/2026 01:04:11 PM (UTC+1030),6277525.938,491621.197,18.163,0.105
27/01/2026 01:04:12 PM (UTC+1030),6277525.441,491620.352,18.141,0.103
27/01/2026 01:04:13 PM (UTC+1030),6277525.019,491619.551,18.025,0.103
27/01/2026 01:04:14 PM (UTC+1030),6277524.738,491618.703,17.964,0.103
27/01/2026 01:04:15 PM (UTC+1030),6277524.413,491617.848,17.848,0.103
27/01/2026 01:04:16 PM (UTC+1030),6277523.971,491616.958,17.74,0.108
27/01/2026 01:04:17 PM (UTC+1030),6277523.622,491616.122,17.674,0.108
27/01/2026 01:04:18 PM (UTC+1030),6277523.27,491615.348,17.673,0.108
27/01/2026 01:04:19 PM (UTC+1030),6277523.021,491614.719,17.643,0.108
27/01/2026 01:04:20 PM (UTC+1030),6277522.572,491614.067,17.526,0.103
27/01/2026 01:04:21 PM (UTC+1030),6277522.235,491613.281,17.465,0.105
27/01/2026 01:04:22 PM (UTC+1030),6277522.096,491612.529,17.388,0.105
27/01/2026 01:04:23 PM (UTC+1030),6277521.87,491611.682,17.234,0.106
27/01/2026 01:04:24 PM (UTC+1030),6277521.619,491610.878,17.219,0.105
27/01/2026 01:04:25 PM (UTC+1030),6277521.41,491610.186,17.102,0.106
27/01/2026 01:04:26 PM (UTC+1030),6277521.166,491609.487,17.08,0.107
27/01/2026 01:04:27 PM (UTC+1030),6277520.967,491608.872,17.057,0.107
27/01/2026 01:04:28 PM (UTC+1030),6277520.728,491608.424,16.989,0.107
27/01/2026 01:04:29 PM (UTC+1030),6277520.481,491608.028,16.902,0.104
27/01/2026 01:04:30 PM (UTC+1030),6277520.09,491607.73,16.862,0.104
27/01/2026 01:04:31 PM (UTC+1030),6277520.121,491607.61,16.827,0.106
27/01/2026 01:04:32 PM (UTC+1030),6277520.081,491607.588,16.824,0.106
27/01/2026 01:04:33 PM (UTC+1030),6277519.89,491607.235,16.767,0.104
27/01/2026 01:04:34 PM (UTC+1030),6277519.261,491606.812,16.701,0.104
27/01/2026 01:04:35 PM (UTC+1030),6277518.527,491606.499,16.664,0.105
27/01/2026 01:04:36 PM (UTC+1030),6277518.104,491605.965,16.54,0.106
27/01/2026 01:04:37 PM (UTC+1030),6277517.695,491605.34,16.511,0.106
27/01/2026 01:04:38 PM (UTC+1030),6277517.067,491605.072,16.486,0.075
27/01/2026 01:04:39 PM (UTC+1030),6277516.73,491604.646,16.396,0.075
27/01/2026 01:04:40 PM (UTC+1030),6277516.141,491604.266,16.308,0.095
27/01/2026 01:04:41 PM (UTC+1030),6277515.962,491603.716,16.227,0.099
27/01/2026 01:04:42 PM (UTC+1030),6277515.823,491603.216,16.191,0.099
27/01/2026 01:04:43 PM (UTC+1030),6277515.51,491602.965,16.153,0.1
27/01/2026 01:04:44 PM (UTC+1030),6277515.421,491602.865,16.17,0.1
27/01/2026 01:04:45 PM (UTC+1030),6277515.291,491602.786,16.168,0.1
27/01/2026 01:04:46 PM (UTC+1030),6277515.575,491602.771,16.153,0.102
27/01/2026 01:04:47 PM (UTC+1030),6277515.752,491602.69,16.201,0.102
27/01/2026 01:04:48 PM (UTC+1030),6277515.828,491602.992,16.182,0.1
27/01/2026 01:04:49 PM (UTC+1030),6277515.836,491602.982,16.18,0.096
27/01/2026 01:04:50 PM (UTC+1030),6277515.757,491603.089,16.183,0.095
27/01/2026 01:04:51 PM (UTC+1030),6277515.775,491602.988,16.187,0.099
27/01/2026 01:04:52 PM (UTC+1030),6277515.785,491602.857,16.189,0.099
27/01/2026 01:04:53 PM (UTC+1030),6277515.787,491602.89,16.203,0.098
27/01/2026 01:04:54 PM (UTC+1030),6277515.758,491602.82,16.205,0.097
27/01/2026 01:04:55 PM (UTC+1030),6277515.704,491602.743,16.197,0.097
27/01/2026 01:04:56 PM (UTC+1030),6277515.77,491602.79,16.183,0.098
27/01/2026 01:04:57 PM (UTC+1030),6277515.73,491602.829,16.191,0.098
27/01/2026 01:04:58 PM (UTC+1030),6277515.636,491602.991,16.219,0.098
27/01/2026 01:04:59 PM (UTC+1030),6277515.227,491602.99,16.131,0.073
27/01/2026 01:05:00 PM (UTC+1030),6277514.683,491603.024,16.134,0.073
27/01/2026 01:05:01 PM (UTC+1030),6277514.037,491603.205,16.064,0.075
27/01/2026 01:05:02 PM (UTC+1030),6277513.299,491603.289,16.006,0.075
27/01/2026 01:05:03 PM (UTC+1030),6277512.558,491603.212,15.978,0.092
27/01/2026 01:05:04 PM (UTC+1030),6277511.799,491603.253,15.921,0.092
27/01/2026 01:05:05 PM (UTC+1030),6277511.098,491603.258,15.834,0.098
27/01/2026 01:05:06 PM (UTC+1030),6277510.236,491603.108,15.801,0.099
27/01/2026 01:05:07 PM (UTC+1030),6277509.391,491603.303,15.729,0.099
27/01/2026 01:05:08 PM (UTC+1030),6277508.445,491603.523,15.697,0.099
27/01/2026 01:05:09 PM (UTC+1030),6277507.653,491603.567,15.682,0.099
27/01/2026 01:05:10 PM (UTC+1030),6277506.76,491603.751,15.573,0.098
27/01/2026 01:05:11 PM (UTC+1030),6277505.878,491603.813,15.53,0.099
27/01/2026 01:05:12 PM (UTC+1030),6277505.076,491603.786,15.473,0.099
27/01/2026 01:05:13 PM (UTC+1030),6277504.25,491603.9,15.412,0.099
27/01/2026 01:05:14 PM (UTC+1030),6277503.408,491604.039,15.384,0.101
27/01/2026 01:05:15 PM (UTC+1030),6277502.577,491604.037,15.292,0.099
27/01/2026 01:05:16 PM (UTC+1030),6277501.857,491603.88,15.267,0.101
27/01/2026 01:05:17 PM (UTC+1030),6277501.11,491603.758,15.183,0.101
27/01/2026 01:05:18 PM (UTC+1030),6277500.514,491603.592,15.161,0.101
27/01/2026 01:05:19 PM (UTC+1030),6277500.399,491603.521,15.19,0.101
27/01/2026 01:05:20 PM (UTC+1030),6277500.533,491603.563,15.192,0.101
27/01/2026 01:05:21 PM (UTC+1030),6277500.447,491603.464,15.19,0.103
27/01/2026 01:05:22 PM (UTC+1030),6277500.481,491603.325,15.168,0.101
27/01/2026 01:05:23 PM (UTC+1030),6277500.459,491603.722,15.187,0.101
27/01/2026 01:05:24 PM (UTC+1030),6277500.062,491603.809,15.135,0.106
27/01/2026 01:05:25 PM (UTC+1030),6277500.103,491603.791,15.13,0.106
27/01/2026 01:05:26 PM (UTC+1030),6277500.086,491603.834,15.119,0.106
27/01/2026 01:05:27 PM (UTC+1030),6277500.432,491603.515,15.128,0.104
27/01/2026 01:05:28 PM (UTC+1030),6277500.404,491603.32,15.104,0.109
27/01/2026 01:05:29 PM (UTC+1030),6277500.12,491603.504,15.146,0.111
27/01/2026 01:05:30 PM (UTC+1030),6277500.211,491603.558,15.149,0.101
27/01/2026 01:05:31 PM (UTC+1030),6277500.209,491603.529,15.142,0.103
27/01/2026 01:05:32 PM (UTC+1030),6277499.956,491603.656,15.123,0.08
27/01/2026 01:05:33 PM (UTC+1030),6277499.794,491603.595,15.131,0.08
27/01/2026 01:05:34 PM (UTC+1030),6277499.882,491603.636,15.138,0.099
27/01/2026 01:05:35 PM (UTC+1030),6277499.843,491603.652,15.138,0.098
27/01/2026 01:05:36 PM (UTC+1030),6277499.738,491603.429,15.109,0.099
27/01/2026 01:05:37 PM (UTC+1030),6277499.712,491603.435,15.1,0.101
27/01/2026 01:05:38 PM (UTC+1030),6277499.85,491603.333,15.078,0.103
27/01/2026 01:05:39 PM (UTC+1030),6277499.824,491603.304,15.072,0.103
27/01/2026 01:05:40 PM (UTC+1030),6277499.876,491603.251,15.081,0.08
27/01/2026 01:05:41 PM (UTC+1030),6277499.94,491603.238,15.075,0.081
27/01/2026 01:05:42 PM (UTC+1030),6277500.038,491603.235,15.028,0.1
27/01/2026 01:05:43 PM (UTC+1030),6277500.211,491603.37,14.94,0.099
27/01/2026 01:05:44 PM (UTC+1030),6277500.024,491603.483,14.913,0.105
27/01/2026 01:05:45 PM (UTC+1030),6277499.801,491602.878,15.027,0.108
27/01/2026 01:05:46 PM (UTC+1030),6277499.786,491602.668,14.978,0.089
27/01/2026 01:05:47 PM (UTC+1030),6277499.958,491602.463,14.901,0.091
27/01/2026 01:05:48 PM (UTC+1030),6277499.913,491602.613,14.959,0.094
27/01/2026 01:05:49 PM (UTC+1030),6277499.839,491602.329,15.083,0.096
27/01/2026 01:05:50 PM (UTC+1030),6277499.607,491602.406,15.06,0.129
27/01/2026 01:05:51 PM (UTC+1030),6277499.562,491602.427,15.062,0.13
27/01/2026 01:05:52 PM (UTC+1030),6277499.89,491602.213,15.016,0.132
27/01/2026 01:05:53 PM (UTC+1030),6277499.58,491601.99,15.022,0.132
27/01/2026 01:05:54 PM (UTC+1030),6277499.964,491601.753,15.011,0.144
27/01/2026 01:05:55 PM (UTC+1030),6277499.957,491601.476,15.046,0.144
27/01/2026 01:05:56 PM (UTC+1030),6277500.044,491601.658,15.027,0.125
27/01/2026 01:05:57 PM (UTC+1030),6277500.08,491601.985,15.05,0.125
27/01/2026 01:05:58 PM (UTC+1030),6277500.256,491602.394,15.125,0.119
27/01/2026 01:05:59 PM (UTC+1030),6277500.042,491602.533,15.081,0.119
27/01/2026 01:06:00 PM (UTC+1030),6277499.989,491602.596,15.031,0.114
27/01/2026 01:06:01 PM (UTC+1030),6277499.971,491602.64,15.007,0.114
27/01/2026 01:06:02 PM (UTC+1030),6277499.99,491602.616,14.994,0.114
27/01/2026 01:06:03 PM (UTC+1030),6277499.971,491602.608,14.997,0.114
27/01/2026 01:06:04 PM (UTC+1030),6277499.956,491602.595,14.989,0.111
27/01/2026 01:06:05 PM (UTC+1030),6277499.951,491602.609,14.99,0.088
27/01/2026 01:06:06 PM (UTC+1030),6277499.962,491602.59,15,0.089
27/01/2026 01:06:07 PM (UTC+1030),6277499.947,491602.586,15.001,0.089
27/01/2026 01:06:08 PM (UTC+1030),6277500.28,491602.645,15.092,0.089
27/01/2026 01:06:09 PM (UTC+1030),6277500.577,491602.185,15.105,0.089
27/01/2026 01:06:10 PM (UTC+1030),6277500.795,491602.378,15.118,0.091
27/01/2026 01:06:11 PM (UTC+1030),6277500.757,491602.041,15.103,0.093
27/01/2026 01:06:12 PM (UTC+1030),6277500.373,491601.851,15.06,0.093
27/01/2026 01:06:13 PM (UTC+1030),6277500.178,491601.736,15.053,0.093
27/01/2026 01:06:14 PM (UTC+1030),6277499.975,491601.89,15.07,0.108
27/01/2026 01:06:15 PM (UTC+1030),6277500.141,491601.902,15.075,0.11
27/01/2026 01:06:16 PM (UTC+1030),6277500.272,491601.901,15.061,0.112
27/01/2026 01:06:17 PM (UTC+1030),6277500.224,491601.82,15.053,0.112
27/01/2026 01:06:18 PM (UTC+1030),6277500.185,491601.839,15.064,0.11
27/01/2026 01:06:19 PM (UTC+1030),6277500.214,491601.841,15.068,0.11
27/01/2026 01:06:20 PM (UTC+1030),6277500.202,491601.89,15.062,0.111
27/01/2026 01:06:21 PM (UTC+1030),6277500.28,491602.075,15.091,0.111
27/01/2026 01:06:22 PM (UTC+1030),6277500.455,491602.027,15.097,0.111
27/01/2026 01:06:23 PM (UTC+1030),6277500.437,491602.005,15.081,0.111
27/01/2026 01:06:24 PM (UTC+1030),6277500.373,491601.946,15.092,0.093
27/01/2026 01:06:25 PM (UTC+1030),6277500.441,491601.885,15.079,0.092
27/01/2026 01:06:26 PM (UTC+1030),6277500.481,491601.983,15.064,0.093
27/01/2026 01:06:27 PM (UTC+1030),6277500.476,491602.037,15.071,0.093
27/01/2026 01:06:28 PM (UTC+1030),6277500.489,491602.051,15.078,0.106
27/01/2026 01:06:29 PM (UTC+1030),6277500.498,491602.052,15.08,0.106
27/01/2026 01:06:30 PM (UTC+1030),6277500.484,491602.053,15.083,0.092
27/01/2026 01:06:31 PM (UTC+1030),6277500.484,491602.042,15.083,0.093
27/01/2026 01:06:32 PM (UTC+1030),6277500.467,491602.045,15.087,0.106
27/01/2026 01:06:33 PM (UTC+1030),6277500.477,491602.048,15.088,0.106
27/01/2026 01:06:34 PM (UTC+1030),6277500.466,491602.075,15.1,0.093
27/01/2026 01:06:35 PM (UTC+1030),6277500.522,491601.966,15.106,0.093
27/01/2026 01:06:36 PM (UTC+1030),6277500.314,491602.242,15.133,0.095
27/01/2026 01:06:37 PM (UTC+1030),6277500.454,491602.159,15.14,0.095
27/01/2026 01:06:38 PM (UTC+1030),6277500.79,491601.868,15.109,0.097
27/01/2026 01:06:39 PM (UTC+1030),6277500.717,491601.556,15.1,0.097
27/01/2026 01:06:40 PM (UTC+1030),6277501.027,491601.478,15.077,0.099
27/01/2026 01:06:41 PM (UTC+1030),6277501.083,491601.443,15.064,0.1
27/01/2026 01:06:42 PM (UTC+1030),6277500.956,491601.448,15.054,0.113
27/01/2026 01:06:43 PM (UTC+1030),6277500.947,491601.459,15.049,0.113
27/01/2026 01:06:44 PM (UTC+1030),6277500.879,491601.338,15.078,0.118
27/01/2026 01:06:45 PM (UTC+1030),6277500.813,491601.089,15.057,0.118
27/01/2026 01:06:46 PM (UTC+1030),6277500.919,491600.38,15.057,0.118
27/01/2026 01:06:47 PM (UTC+1030),6277501.309,491599.516,15.033,0.118
27/01/2026 01:06:48 PM (UTC+1030),6277501.584,491598.622,15.001,0.117
27/01/2026 01:06:49 PM (UTC+1030),6277501.696,491598.099,15.004,0.117
27/01/2026 01:06:50 PM (UTC+1030),6277501.739,491597.999,14.996,0.115
27/01/2026 01:06:51 PM (UTC+1030),6277501.74,491598.031,14.997,0.117
27/01/2026 01:06:52 PM (UTC+1030),6277501.771,491598.037,14.994,0.117
27/01/2026 01:06:53 PM (UTC+1030),6277501.76,491598.049,14.992,0.117
27/01/2026 01:06:54 PM (UTC+1030),6277501.492,491597.456,14.922,0.115
27/01/2026 01:06:55 PM (UTC+1030),6277501.561,491596.476,14.925,0.117
27/01/2026 01:06:56 PM (UTC+1030),6277501.762,491595.378,14.855,0.111
27/01/2026 01:06:57 PM (UTC+1030),6277502.096,491594.321,14.881,0.111
27/01/2026 01:06:58 PM (UTC+1030),6277502.25,491593.238,14.817,0.092
27/01/2026 01:06:59 PM (UTC+1030),6277502.231,491592.27,14.794,0.093
27/01/2026 01:07:00 PM (UTC+1030),6277502.274,491591.581,14.72,0.106
27/01/2026 01:07:01 PM (UTC+1030),6277502.61,491590.887,14.702,0.111
27/01/2026 01:07:02 PM (UTC+1030),6277502.843,491590.038,14.651,0.111
27/01/2026 01:07:03 PM (UTC+1030),6277502.779,491589.191,14.632,0.113
27/01/2026 01:07:04 PM (UTC+1030),6277502.695,491588.819,14.644,0.118
27/01/2026 01:07:05 PM (UTC+1030),6277502.816,491588.206,14.615,0.118
27/01/2026 01:07:06 PM (UTC+1030),6277502.512,491587.793,14.629,0.118
27/01/2026 01:07:07 PM (UTC+1030),6277502.611,491587.436,14.607,0.118
27/01/2026 01:07:08 PM (UTC+1030),6277502.471,491587.462,14.625,0.118
27/01/2026 01:07:09 PM (UTC+1030),6277502.364,491587.633,14.611,0.118
27/01/2026 01:07:10 PM (UTC+1030),6277502.469,491587.737,14.582,0.114
27/01/2026 01:07:11 PM (UTC+1030),6277502.429,491587.782,14.583,0.114
27/01/2026 01:07:12 PM (UTC+1030),6277502.43,491587.775,14.572,0.114
27/01/2026 01:07:13 PM (UTC+1030),6277502.403,491587.76,14.585,0.114
27/01/2026 01:07:14 PM (UTC+1030),6277502.439,491587.746,14.592,0.112
27/01/2026 01:07:15 PM (UTC+1030),6277502.454,491587.74,14.598,0.112
27/01/2026 01:07:16 PM (UTC+1030),6277502.445,491587.742,14.597,0.112
27/01/2026 01:07:17 PM (UTC+1030),6277502.431,491587.751,14.597,0.091
27/01/2026 01:07:18 PM (UTC+1030),6277502.454,491587.757,14.591,0.091
27/01/2026 01:07:19 PM (UTC+1030),6277502.448,491587.761,14.587,0.089
27/01/2026 01:07:20 PM (UTC+1030),6277502.417,491587.751,14.589,0.089
27/01/2026 01:07:21 PM (UTC+1030),6277502.406,491587.657,14.586,0.092
27/01/2026 01:07:22 PM (UTC+1030),6277502.353,491587.356,14.585,0.092
27/01/2026 01:07:23 PM (UTC+1030),6277502.224,491586.908,14.577,0.092
27/01/2026 01:07:24 PM (UTC+1030),6277502.266,491586.369,14.559,0.093
27/01/2026 01:07:25 PM (UTC+1030),6277502.459,491585.735,14.542,0.095
27/01/2026 01:07:26 PM (UTC+1030),6277502.618,491584.933,14.531,0.097
27/01/2026 01:07:27 PM (UTC+1030),6277502.602,491584.142,14.576,0.11
27/01/2026 01:07:28 PM (UTC+1030),6277502.503,491583.314,14.522,0.111
27/01/2026 01:07:29 PM (UTC+1030),6277502.664,491582.565,14.507,0.114
27/01/2026 01:07:30 PM (UTC+1030),6277502.773,491581.753,14.508,0.114
27/01/2026 01:07:31 PM (UTC+1030),6277502.702,491580.97,14.482,0.116
27/01/2026 01:07:32 PM (UTC+1030),6277502.715,491580.231,14.489,0.123
27/01/2026 01:07:33 PM (UTC+1030),6277502.763,491579.434,14.466,0.123
27/01/2026 01:07:34 PM (UTC+1030),6277502.681,491578.684,14.484,0.123
27/01/2026 01:07:35 PM (UTC+1030),6277502.465,491577.89,14.457,0.123
27/01/2026 01:07:36 PM (UTC+1030),6277502.408,491577.038,14.422,0.126
27/01/2026 01:07:37 PM (UTC+1030),6277502.502,491576.251,14.422,0.127
27/01/2026 01:07:38 PM (UTC+1030),6277502.532,491575.423,14.356,0.12
27/01/2026 01:07:39 PM (UTC+1030),6277502.421,491574.551,14.395,0.12
27/01/2026 01:07:40 PM (UTC+1030),6277502.371,491573.677,14.327,0.119
27/01/2026 01:07:41 PM (UTC+1030),6277502.302,491572.817,14.335,0.12
27/01/2026 01:07:42 PM (UTC+1030),6277502.159,491571.995,14.312,0.118
27/01/2026 01:07:43 PM (UTC+1030),6277501.947,491571.117,14.334,0.118
27/01/2026 01:07:44 PM (UTC+1030),6277501.959,491570.286,14.275,0.118
27/01/2026 01:07:45 PM (UTC+1030),6277501.934,491569.454,14.279,0.117
27/01/2026 01:07:46 PM (UTC+1030),6277501.801,491568.581,14.2,0.115
27/01/2026 01:07:47 PM (UTC+1030),6277501.597,491567.701,14.223,0.117
27/01/2026 01:07:48 PM (UTC+1030),6277501.404,491566.844,14.14,0.115
27/01/2026 01:07:49 PM (UTC+1030),6277501.379,491566.041,14.143,0.114
27/01/2026 01:07:50 PM (UTC+1030),6277501.13,491565.195,14.123,0.113
27/01/2026 01:07:51 PM (UTC+1030),6277500.87,491564.409,14.177,0.114
27/01/2026 01:07:52 PM (UTC+1030),6277500.817,491563.543,14.129,0.112
27/01/2026 01:07:53 PM (UTC+1030),6277500.72,491562.722,14.15,0.112
27/01/2026 01:07:54 PM (UTC+1030),6277500.486,491561.839,14.122,0.112
27/01/2026 01:07:55 PM (UTC+1030),6277500.294,491561.017,14.151,0.112
27/01/2026 01:07:56 PM (UTC+1030),6277500.25,491560.174,14.108,0.112
27/01/2026 01:07:57 PM (UTC+1030),6277500.177,491559.327,14.125,0.114
27/01/2026 01:07:58 PM (UTC+1030),6277499.908,491558.489,14.06,0.114
27/01/2026 01:07:59 PM (UTC+1030),6277499.686,491557.685,14.105,0.114
27/01/2026 01:08:00 PM (UTC+1030),6277499.718,491556.85,14.031,0.112
27/01/2026 01:08:01 PM (UTC+1030),6277499.685,491555.993,14.06,0.113
27/01/2026 01:08:02 PM (UTC+1030),6277499.439,491555.298,14.009,0.112
27/01/2026 01:08:03 PM (UTC+1030),6277499.098,491554.57,14.032,0.112
27/01/2026 01:08:04 PM (UTC+1030),6277499.031,491553.753,13.951,0.111
27/01/2026 01:08:05 PM (UTC+1030),6277498.822,491552.91,13.968,0.109
27/01/2026 01:08:06 PM (UTC+1030),6277498.417,491552.067,13.906,0.111
27/01/2026 01:08:07 PM (UTC+1030),6277498.032,491551.304,13.9,0.111
27/01/2026 01:08:08 PM (UTC+1030),6277497.772,491550.516,13.829,0.111
27/01/2026 01:08:09 PM (UTC+1030),6277497.612,491549.797,13.83,0.111
27/01/2026 01:08:10 PM (UTC+1030),6277497.216,491549.108,13.816,0.109
27/01/2026 01:08:11 PM (UTC+1030),6277497.052,491548.189,13.759,0.111
27/01/2026 01:08:12 PM (UTC+1030),6277496.96,491547.247,13.727,0.109
27/01/2026 01:08:13 PM (UTC+1030),6277496.681,491546.43,13.68,0.109
27/01/2026 01:08:14 PM (UTC+1030),6277496.238,491545.706,13.694,0.109
27/01/2026 01:08:15 PM (UTC+1030),6277495.887,491544.954,13.621,0.109
27/01/2026 01:08:16 PM (UTC+1030),6277495.502,491544.105,13.574,0.108
27/01/2026 01:08:17 PM (UTC+1030),6277495.013,491543.308,13.497,0.108
27/01/2026 01:08:18 PM (UTC+1030),6277494.438,491542.443,13.505,0.109
27/01/2026 01:08:19 PM (UTC+1030),6277493.958,491541.563,13.499,0.105
27/01/2026 01:08:20 PM (UTC+1030),6277493.532,491540.724,13.442,0.105
27/01/2026 01:08:21 PM (UTC+1030),6277493.096,491539.91,13.481,0.106
27/01/2026 01:08:22 PM (UTC+1030),6277492.651,491539.21,13.463,0.107
27/01/2026 01:08:23 PM (UTC+1030),6277492.079,491538.627,13.492,0.109
